Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Darick Hall","PHI",64,253,228,51,28,12,0,11,28,33,19,1,70,4,1,0,3,1,0,0.224218,0.074978,0.275111,0.272538,0.292965,0.428506,0.312822,0.721471,0.204288,2.9093,0.268125,-0.0726114,-0.16542,29.5137,0.617542,99.7655,-0.238031,-0.479851,-0.3068890795111656,-7.232202917337418,0.101142,600.2100219726562,5.8745,3.49735,0.782102,"19717"
"Alcides Escobar",,33,128,119,29,21,5,1,1,14,11,6,0,26,2,1,1,1,1,0,0.241582,0.0465834,0.205446,0.226742,0.285365,0.336683,0.274781,0.622048,0.0951008,5.17428,0.297439,-0.12653,0.0726358,11.0897,-3.55838,75.9597,-0.0538944,-0.891629,-3.575654339045286,0.3268004059791565,0.0993488,999,2.00714,1.47541,1.52296,"6310"
"Willie MacIver","COL",8,29,27,6,4,1,0,1,3,3,2,0,8,0,0,0,0,1,0,0.229741,0.0748649,0.274928,0.272307,0.295833,0.377426,0.297746,0.67326,0.147686,4.14131,0.294774,-0.0900726,0.0847046,3.05803,-0.278126,75.9877,-0.00536802,0.162587,-0.8193292254582047,0.7799014300107956,0.0989275,999,0.806625,0.00798874,1.83552,"sa3007828"
"Zack Gelof","OAK",12,44,40,9,6,2,0,1,4,4,3,0,13,0,0,0,0,1,0,0.221428,0.0748956,0.296031,0.252999,0.282405,0.361066,0.283741,0.64347,0.139638,4.76039,0.29638,-0.0584029,0.0516123,4.15277,-0.915756,88.476,-0.00679058,-0.0663961,-0.5816083000972867,0.11113567650318146,0.0988352,999,0.832826,-0.147256,1.77601,"sa3017286"
"Matt Reynolds","CIN",31,98,88,21,15,4,0,1,10,8,9,0,28,1,0,0,1,2,0,0.233812,0.0899148,0.284466,0.316083,0.310091,0.327455,0.287167,0.637546,0.0936437,4.49924,0.328093,-0.251567,0.193977,9.44394,-1.7571,76.6367,-0.0575899,0,-2.7165773771703243,0.35992446541786194,0.0986052,749.5399780273438,1.8902,0.69203,1.62439,"13788"
"Terrin Vavra","BAL",19,68,60,15,11,3,0,1,7,6,7,0,14,1,1,0,1,1,0,0.24744,0.103025,0.21127,0.487643,0.332546,0.348241,0.305502,0.680786,0.1008,4.46685,0.310493,-0.117719,0.0288066,7.59723,-0.230796,98.8682,-0.0889121,-0.408869,-0.17610102891921997,-1.0745568573474884,0.0976222,749.97998046875,2.00187,2.20115,1.73324,"24400"
"Alfonso Rivas",,9,32,29,7,5,1,0,0,3,3,3,0,9,0,0,0,0,0,0,0.231317,0.0921622,0.290803,0.316923,0.306117,0.317865,0.281936,0.623982,0.0865482,3.25409,0.324242,-0.0198456,0.00428457,2.98403,-0.714634,80.9304,-0.015561,1.31761,-0.7209468642249703,0.587752103805542,0.0972336,750.6900024414062,2.38042,1.2021,1.82647,"21560"
"Joey Ortiz","BAL",8,27,25,7,6,1,0,0,3,3,1,0,5,0,0,0,0,0,0,0.27585,0.0493709,0.189168,0.260989,0.313021,0.344482,0.291919,0.657503,0.0686321,3.00678,0.333661,-0.00572115,-0.00977614,2.66297,-0.37645,89.2786,-0.0154973,0.0266103,-0.33618800807744265,0.40832456201314926,0.0964643,999,3.04313,2.42746,1.87507,"sa3009889"
"Jake Cave","PHI",36,133,120,27,17,6,1,4,15,14,9,0,41,2,1,0,1,1,0,0.224381,0.0711288,0.307036,0.231663,0.287429,0.381094,0.29244,0.668523,0.156713,5.72073,0.304713,-0.128225,0.116739,13.3636,-1.82639,85.8287,-0.011486,-0.476842,-2.198704205453396,-1.3562627732753754,0.0960227,743.2100219726562,4.59867,2.65455,1.37527,"14477"
"Alex Dickerson",,26,83,76,17,11,4,0,3,8,9,6,0,21,1,0,0,3,0,0,0.225076,0.0680781,0.250673,0.271581,0.287053,0.385983,0.296083,0.673036,0.160906,1.62033,0.272343,0.0107102,-0.0745302,8.56725,-0.898508,90.7587,-0.06382,0,-0.9386608824133873,-0.9124935865402222,0.09027,999,1.65584,0.534534,1.57707,"12649"
