Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Jorge Mateo","BAL",76,295,273,61,39,13,3,6,30,29,15,0,78,3,2,2,,20,6,0.22457,0.0497999,0.264993,0.187929,0.270319,0.358579,0.275262,0.628898,0.134008,7.37029,0.289111,0.286,1.20001,25.6537,-8.08269,77.519,1.48601,0.585,-5.977781057357788,3.689999997615814,0.746438,237.19000244140625,,,,"17273"
"Nick Ahmed","ARI",97,373,339,78,50,19,2,7,38,36,26,1,81,3,3,3,,7,2,0.229269,0.07,0.216639,0.323118,0.287306,0.359482,0.284121,0.646789,0.130213,4.85778,0.277284,0.269,0.145085,35.0868,-7.59959,79.7982,0.414085,-1.969,-8.347891688346863,2.8910001516342163,0.745799,624.22998046875,,,,"12147"
"Randal Grichuk","COL",113,469,436,113,69,23,2,19,55,62,24,0,103,4,3,2,,3,1,0.258376,0.0509001,0.219942,0.231425,0.301077,0.449849,0.324083,0.750926,0.191473,3.79745,0.296072,-0.582,-0.3281,59.0061,5.34511,93.9959,-0.9101,-2.596,-4.183715045452118,-4.593999981880188,0.736175,248.5800018310547,,,,"10243"
"Alex Call","WSN",76,316,275,64,40,14,1,9,35,33,32,0,64,5,2,2,,6,2,0.233289,0.1027,0.203054,0.505776,0.322303,0.387339,0.314511,0.709642,0.15405,4.19213,0.270988,0.133,-0.170939,37.335,1.19635,100.874,-0.0379393,-1.002,0.28287000581622124,-3.9450000524520874,0.731957,708.6900024414062,,,,"19296"
"Dominic Smith","WSN",110,437,391,98,61,24,1,12,47,48,33,1,92,7,3,3,,2,1,0.250378,0.0748,0.20989,0.356377,0.31691,0.407272,0.316394,0.724182,0.156894,3.33988,0.296277,-0.489,-0.352064,52.2665,2.30768,102.162,-0.841064,1.193,0.25625079870224,-8.041000247001648,0.726059,472.8299865722656,,,,"15653"
"Mauricio Dubón","HOU",75,305,280,69,49,12,1,7,33,33,18,0,49,3,2,2,,5,2,0.247163,0.059,0.161317,0.36574,0.296827,0.375694,0.295,0.672521,0.128532,4.04352,0.273886,-0.046,-0.178591,31.2898,-3.57137,91.7909,-0.224591,-0.685,-3.0408971905708313,0.125,0.713383,719.8300170898438,,,,"16530"
"Jordan Walker","STL",97,394,358,89,58,19,2,10,43,43,27,0,97,4,3,2,,7,3,0.24758,0.0677999,0.245459,0.276217,0.305374,0.39096,0.305056,0.696334,0.14338,4.68242,0.310177,-0.067,-0.0772235,43.5948,-1.46825,99.3556,-0.144224,0,-0.43925556540489197,-6.156000137329102,0.6997,999,,,,"sa3014464"
"Josh Lowe","TBR",81,334,296,66,41,15,1,9,35,34,31,1,106,2,2,2,,9,3,0.223264,0.0935001,0.318913,0.293184,0.300083,0.372176,0.295949,0.672258,0.148912,5.33812,0.313603,0.1,0.34652,34.4801,-3.65564,96.9368,0.44652,0.028,-0.7030875086784363,-3.265999909490347,0.698571,469.6300048828125,,,,"19953"
"Jordan Groshans","MIA",62,243,216,55,41,11,0,3,24,22,22,0,45,2,2,2,,1,0,0.255677,0.0891999,0.185234,0.481552,0.325787,0.354119,0.303174,0.679905,0.0984424,2.77502,0.307108,0,-0.231811,26.5167,-1.26867,96.9326,-0.231811,-2.166,-1.0977959483861923,-0.4379998445510864,0.697148,695.5399780273438,,,,"23794"
"Brandon Belt","TOR",84,346,297,66,39,12,1,15,42,43,41,2,93,5,3,2,,2,1,0.223161,0.117,0.268926,0.435064,0.323794,0.418458,0.324862,0.742252,0.195297,3.3868,0.269252,-0.571,-0.273076,43.7519,4.15807,112.938,-0.844076,0.046,4.197250425815582,-8.648000244051218,0.690639,353.5400085449219,,,,"10264"
"JJ Bleday","OAK",107,430,371,74,44,17,1,12,41,42,50,0,118,4,3,2,,4,2,0.200463,0.1156,0.273601,0.422513,0.299114,0.349089,0.290331,0.648203,0.148626,3.52252,0.255307,0.052,-0.274747,42.5115,-6.62836,93.1286,-0.222747,1,-3.5456840246915817,-3.5900001525878906,0.687913,619.7100219726562,,,,"26368"
"Joey Bart","SFG",87,331,298,65,42,12,1,10,34,34,24,0,111,5,3,3,,3,1,0.21702,0.0716,0.334047,0.214341,0.282883,0.359625,0.28394,0.642508,0.142605,3.91521,0.305376,-0.315,-0.106361,31.0727,-6.78796,83.1548,-0.421361,-1.907,-6.901568740606308,5.3750001192092896,0.682877,338.2699890136719,,,,"21524"
"Juan Yepez","STL",79,314,283,69,41,15,0,14,38,42,23,0,69,3,3,2,,1,0,0.244841,0.0727001,0.21943,0.331314,0.30577,0.444142,0.325089,0.749912,0.199302,2.52536,0.273953,-0.279,-0.259016,39.6709,3.8214,113.053,-0.538016,-0.002,4.216723918914795,-8.3450004120823,0.674082,334,,,,"18400"
